 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.00132      0.00713      0.00000    13.5000     0.0003     1.7953     0.0594     0.0594     0.0034 **********          0.029    0.00000    0.01626
     0.00271      0.01121      0.00000    13.5000     0.0004     1.7897     0.0705     0.0705     0.0048 **********          0.075    0.00000    0.02284
     0.00410      0.01759      0.00000    13.5000     0.0006     1.7832     0.0837     0.0837     0.0068 **********          0.148    0.00000    0.03201
     0.00549      0.02749      0.00000    13.5000     0.0007     1.7754     0.0992     0.0992     0.0095 **********          0.261    0.00000    0.04470
     0.00687      0.04275      0.00000    13.5000     0.0010     1.7663     0.1175     0.1175     0.0133 **********          0.438    0.00000    0.06215
     0.00826      0.06611      0.00000    13.5000     0.0013     1.7556     0.1388     0.1388     0.0186 **********          0.712    0.00000    0.08597
     0.00965      0.10155      0.00000    13.5000     0.0016     1.7431     0.1638     0.1638     0.0260 **********          1.134    0.00000    0.11819
     0.01104      0.15478      0.00000    13.5000     0.0021     1.7286     0.1928     0.1928     0.0360 **********          1.779    0.00000    0.16132
     0.01243      0.23381      0.00000    13.5000     0.0027     1.7118     0.2263     0.2263     0.0496 **********          2.758    0.00000    0.21839
     0.01382      0.34961      0.00000    13.5000     0.0034     1.6926     0.2648     0.2648     0.0680 **********          4.227    0.00000    0.29287
     0.01521      0.51681      0.00000    13.5000     0.0043     1.6706     0.3088     0.3088     0.0925 **********          6.411    0.00000    0.38862
     0.01660      0.75438      0.00000    13.5000     0.0055     1.6457     0.3586     0.3586     0.1248 **********          9.614    0.00000    0.50975
     0.01799      1.08617      0.00000    13.5000     0.0068     1.6177     0.4145     0.4145     0.1670 **********         14.254    0.00000    0.66032
     0.01938      1.54114      0.00000    13.5000     0.0084     1.5865     0.4769     0.4769     0.2213 **********         20.879    0.00000    0.84415
     0.02076      2.15329      0.00000    13.5000     0.0102     1.5521     0.5459     0.5459     0.2902 **********         30.195    0.00000    1.06446
     0.02215      2.96120      0.00000    13.5000     0.0124     1.5143     0.6214     0.6214     0.3765 **********         43.094    0.00000    1.32366
     0.02354      4.00716      0.00000    13.5000     0.0149     1.4732     0.7035     0.7035     0.4831 **********         60.669    0.00000    1.62314
     0.02493      5.33597      0.00000    13.5000     0.0177     1.4290     0.7920     0.7920     0.6129 **********         84.233    0.00000    1.96325
     0.02632    634.12024      0.00000    13.4993     0.3103     1.4244     0.8012    28.7901    89.9828     1.1416       2652.189    0.00000   18.35631
     0.02771    634.01038      0.00000    13.4985     0.3103     1.4244     0.8012    28.7901    89.9698     1.1416       5822.488    0.00000   17.84624
     0.02910    633.90063      0.00000    13.4976     0.3103     1.4244     0.8012    28.7901    89.9576     1.1416       8992.237    0.00000   17.36740
     0.03049    633.79083      0.00000    13.4967     0.3102     1.4244     0.8012    28.7901    89.9455     1.1416      12161.438    0.00000   16.91541
     0.03187    633.68103      0.00000    13.4959     0.3102     1.4244     0.8012    28.7901    89.9325     1.1416      15330.089    0.00000   16.48591
     0.03326    633.57129      0.00000    13.4950     0.3102     1.4244     0.8012    28.7901    89.9203     1.1416      18498.191    0.00000   16.07466
     0.03465    633.46149      0.00000    13.4941     0.3101     1.4244     0.8012    28.7901    89.9073     1.1416      21665.746    0.00000   15.67937
     0.03604    633.35181      0.00000    13.4933     0.3101     1.4244     0.8012    28.7901    89.8951     1.1416      24832.752    0.00000   15.29779
     0.03743    633.24200      0.00000    13.4924     0.3101     1.4244     0.8012    28.7901    89.8830     1.1416      27999.209    0.00000   14.92798
