%eval_id interface pd             po             fa             response_fn_1  response_fn_2  response_fn_3  response_fn_4  response_fn_5  response_fn_6  response_fn_7  response_fn_8  response_fn_9  
1        bat        0.0001         0.235          0.577          5772.5791      0.54021        225.6715       15.56          0.10132        1.1538         24.7883        1.1538         15.56          
2        bat        0.0001416666667 0.235          0.577          5774.5166      0.53882        225.6715       15.56          0.10132        1.1787         24.789         1.1787         15.56          
3        bat        0.0001833333333 0.235          0.577          5772.97754     0.53882        225.6715       15.56          0.10132        1.198          24.7878        1.198          15.56          
4        bat        0.000225       0.235          0.577          5773.89209     0.53743        225.6716       15.56          0.09993        1.1608         24.7875        1.1608         15.56          
5        bat        0.0002666666667 0.235          0.577          5774.9126      0.53743        225.6716       15.56          0.09993        1.1733         24.7899        1.1733         15.56          
6        bat        0.0003083333333 0.235          0.577          5774.15088     0.53743        225.6716       15.56          0.09993        1.1841         24.7901        1.1841         15.56          
7        bat        0.00035        0.235          0.577          5773.38525     0.53743        225.6716       15.56          0.09993        1.1937         24.7889        1.1937         15.56          
8        bat        0.0003916666667 0.235          0.577          5772.61426     0.53743        225.6716       15.56          0.09854        1.1474         24.7864        1.1474         15.56          
9        bat        0.0004333333333 0.235          0.577          5772.42383     0.53604        225.6716       15.56          0.09854        1.1546         24.7886        1.1546         15.56          
10       bat        0.000475       0.235          0.577          5773.88184     0.53604        225.6717       15.56          0.09854        1.1612         24.7899        1.1612         15.56          
11       bat        0.0005166666667 0.235          0.577          5774.93555     0.53604        225.6717       15.56          0.09854        1.1672         24.785         1.1672         15.56          
12       bat        0.0005583333333 0.235          0.577          5774.55322     0.53604        225.6717       15.56          0.09854        1.1728         24.7852        1.1728         15.56          
13       bat        0.0006         0.235          0.577          5774.55273     0.53604        225.6717       15.56          0.09854        1.1781         24.7906        1.1781         15.56          
14       bat        0.0001         0.2445         0.577          5768.86816     0.54021        225.4091       15.56          0.10271        1.2037         24.68          1.2037         15.56          
15       bat        0.0001416666667 0.2445         0.577          5767.0835      0.53882        225.4091       15.56          0.10132        1.1787         24.6807        1.1787         15.56          
16       bat        0.0001833333333 0.2445         0.577          5769.27588     0.53882        225.4092       15.56          0.10132        1.198          24.6796        1.198          15.56          
