 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.00132      0.00481      0.00000     1.0030     0.0056     0.1948     0.0544     0.0544     0.0028 **********          0.019    0.00000    0.00136
     0.00271      0.00800      0.00000     1.0030     0.0075     0.1887     0.0666     0.0666     0.0043 **********          0.051    0.00000    0.00193
     0.00410      0.01285      0.00000     1.0029     0.0100     0.1817     0.0806     0.0806     0.0063 **********          0.104    0.00000    0.00266
     0.00549      0.01990      0.00000     1.0028     0.0130     0.1739     0.0963     0.0963     0.0090 **********          0.186    0.00000    0.00355
     0.00687      0.02970      0.00000     1.0027     0.0166     0.1652     0.1136     0.1136     0.0125 **********          0.312    0.00000    0.00459
     0.00826      0.04283      0.00000     1.0026     0.0206     0.1558     0.1324     0.1324     0.0170 **********          0.495    0.00000    0.00577
     0.00965      0.05978      0.00000     1.0024     0.0252     0.1458     0.1525     0.1525     0.0226 **********          0.754    0.00000    0.00707
     0.01104      0.08098      0.00000     1.0021     0.0302     0.1352     0.1737     0.1737     0.0294 **********          1.109    0.00000    0.00847
     0.01243      0.10678      0.00000     1.0017     0.0357     0.1241     0.1958     0.1958     0.0375 **********          1.583    0.00000    0.00994
     0.01382      0.13746      0.00000     1.0012     0.0415     0.1126     0.2188     0.2188     0.0469 **********          2.199    0.00000    0.01147
     0.01521      0.17321      0.00000     1.0005     0.0477     0.1008     0.2424     0.2424     0.0576 **********          2.983    0.00000    0.01304
     0.01660      0.21416      0.00000     0.9997     0.0542     0.0888     0.2665     0.2665     0.0697 **********          3.959    0.00000    0.01464
     0.01799      0.26035      0.00000     0.9987     0.0610     0.0765     0.2910     0.2910     0.0833 **********          5.155    0.00000    0.01624
     0.01938      0.31180      0.00000     0.9975     0.0679     0.0640     0.3159     0.3159     0.0982 **********          6.596    0.00000    0.01785
     0.02076      0.36849      0.00000     0.9960     0.0751     0.0515     0.3410     0.3410     0.1146 **********          8.309    0.00000    0.01944
     0.02215      0.43032      0.00000     0.9943     0.0824     0.0388     0.3663     0.3663     0.1323 **********         10.319    0.00000    0.02102
     0.02354      0.49720      0.00000     0.9923     0.0899     0.0261     0.3917     0.3917     0.1515 **********         12.653    0.00000    0.02258
     0.02493      0.56898      0.00000     0.9901     0.0974     0.0134     0.4172     0.4172     0.1720 **********         15.334    0.00000    0.02411
     0.02632      0.64549      0.00000     0.9875     0.1051     0.0006     0.4428     0.4428     0.1938 **********         18.388    0.00000    0.02560
     0.02771      0.70611      0.00000     0.9846     0.1109     0.0000     0.4682     0.4682     0.2118 **********         21.788    0.00000    0.01977
     0.02910      0.87972      0.00000     0.9814     0.1265     0.0000     0.4884     0.6403     0.3446    17.1098         25.561    0.00000    0.24637
     0.03049      0.87444      0.00000     0.9777     0.1261     0.0000     0.4884     0.6403     0.3432    17.1098         29.945    0.00000    0.24476
     0.03187      1.12647      0.00000     0.9735     0.1468     0.0000     0.6650     0.8170     0.4441    17.1098         34.901    0.00000    0.19213
     0.03326      1.41188      0.00000     0.9681     0.1681     0.0000     0.8463     0.9983     0.5592    17.1098         41.328    0.00000    0.18224
     0.03465      1.67597      0.00000     0.9616     0.1863     0.0000     1.0196     1.1716     0.6668    17.1098         49.122    0.00000    0.17509
     0.03604      1.92114      0.00000     0.9539     0.2022     0.0000     1.1868     1.3388     0.7679    17.1098         58.183    0.00000    0.16941
     0.03743      2.14851      0.00000     0.9452     0.2162     0.0000     1.3490     1.5010     0.8633    17.1098         68.421    0.00000    0.16460
     0.03882      2.35948      0.00000     0.9358     0.2287     0.0000     1.5069     1.6588     0.9532    17.1098         79.750    0.00000    0.16040
     0.04021      2.55501      0.00000     0.9259     0.2399     0.0000     1.6609     1.8128     1.0381    17.1098         92.092    0.00000    0.15664
     0.04160      2.73450      0.00000     0.9151     0.2499     0.0000     1.8114     1.9633     1.1178    17.1098        105.367    0.00000    0.15314
     0.04299      2.89817      0.00000     0.9037     0.2588     0.0000     1.9586     2.1105     1.1925    17.1098        119.496    0.00000    0.14983
     0.04437      3.04624      0.00000     0.8917     0.2666     0.0000     2.1026     2.2546     1.2621    17.1098        134.400    0.00000    0.14666
     0.04576      3.17901      0.00000     0.8790     0.2736     0.0000     2.2437     2.3956     1.3268    17.1098        150.003    0.00000    0.14361
     0.04715      3.29683      0.00000     0.8659     0.2796     0.0000     2.3818     2.5337     1.3866    17.1098        166.228    0.00000    0.14065
     0.04854      3.40012      0.00000     0.8523     0.2848     0.0000     2.5171     2.6690     1.4424    17.1098        183.002    0.00000    0.13762
     0.04993      3.48800      0.00000     0.8384     0.2892     0.0000     2.6483     2.8003     1.5044    17.1098        200.251    0.00000    0.13280
     0.05132      3.56011      0.00000     0.8241     0.2928     0.0000     2.7751     2.9270     1.5609    17.1098        217.896    0.00000    0.12822
     0.05271      3.61748      0.00000     0.8095     0.2956     0.0000     2.8975     3.0494     1.6122    17.1098        235.860    0.00000    0.12386
     0.05410      3.66114      0.00000     0.7948     0.2977     0.0000     3.0157     3.1677     1.6584    17.1098        254.073    0.00000    0.11970
     0.05549      3.68925      0.00000     0.7795     0.2991     0.0000     3.1300     3.2820     1.6989    17.1098        272.463    0.00000    0.11566
     0.05688      3.70416      0.00000     0.7639     0.2998     0.0000     3.2404     3.3924     1.7342    17.1098        290.955    0.00000    0.11177
     0.05826      3.70820      0.00000     0.7483     0.3000     0.0000     3.3472     3.4991     1.7649    17.1098        309.491    0.00000    0.10805
     0.05965      3.70237      0.00000     0.7326     0.2998     0.0000     3.4504     3.6023     1.7914    17.1098        328.020    0.00000    0.10449
     0.06104      3.68763      0.00000     0.7171     0.2990     0.0000     3.5502     3.7021     1.8138    17.1098        346.495    0.00000    0.10109
     0.06243      3.66488      0.00000     0.7016     0.2979     0.0000     3.6468     3.7987     1.8323    17.1098        364.874    0.00000    0.09783
     0.06382      3.63499      0.00000     0.6862     0.2965     0.0000     3.7403     3.8922     1.8473    17.1098        383.119    0.00000    0.09470
     0.06521      3.59876      0.00000     0.6710     0.2947     0.0000     3.8308     3.9827     1.8589    17.1098        401.197    0.00000    0.09171
     0.06660      3.55695      0.00000     0.6559     0.2926     0.0000     3.9184     4.0704     1.8674    17.1098        419.077    0.00000    0.08884
     0.06799      3.51027      0.00000     0.6410     0.2903     0.0000     4.0034     4.1553     1.8730    17.1098        436.736    0.00000    0.08608
     0.06938      3.45475      0.00000     0.6257     0.2876     0.0000     4.0857     4.2376     1.8742    17.1098        454.137    0.00000    0.08336
     0.07076      3.39540      0.00000     0.6107     0.2846     0.0000     4.1654     4.3173     1.8728    17.1098        471.249    0.00000    0.08075
     0.07215      3.33315      0.00000     0.5960     0.2814     0.0000     4.2426     4.3945     1.8691    17.1098        488.055    0.00000    0.07825
