%eval_id interface sd             po             fat            Qp             Tp             Bw             Tc             Bwbc           Bwac           
1        bat        0.0001         0.33           0.577          2.35257        289.764        5.9753         144.756        0.4985         0.7213         
2        bat        0.0001041666667 0.33           0.577          2.35307        289.764        5.9755         139.752        0.482          0.6502         
3        bat        0.0001083333333 0.33           0.577          2.35358        289.764        5.9757         139.752        0.4841         0.7221         
4        bat        0.0001125      0.33           0.577          2.35408        289.764        5.9759         139.752        0.4862         0.7223         
5        bat        0.0001166666667 0.33           0.577          2.35589        284.76         5.9766         139.752        0.4882         0.7205         
6        bat        0.0001208333333 0.33           0.577          2.35668        284.76         5.9768         139.752        0.4901         0.7206         
7        bat        0.000125       0.33           0.577          2.35745        284.76         5.9771         139.752        0.4921         0.7206         
8        bat        0.0001291666667 0.33           0.577          2.35821        284.76         5.9773         139.752        0.4939         0.7206         
9        bat        0.0001333333333 0.33           0.577          2.35895        284.76         5.9776         139.752        0.4958         0.7205         
10       bat        0.0001375      0.33           0.577          2.35967        284.76         5.9779         139.752        0.4976         0.7204         
11       bat        0.0001416666667 0.33           0.577          2.35903        284.76         5.9776         139.752        0.4993         0.7223         
12       bat        0.0001458333333 0.33           0.577          2.35976        284.76         5.9779         134.748        0.4814         0.6506         
13       bat        0.00015        0.33           0.577          2.36047        284.76         5.9782         134.748        0.4831         0.7217         
14       bat        0.0001         0.34           0.577          2.35           289.764        5.9616         144.756        0.4985         0.7112         
15       bat        0.0001041666667 0.34           0.577          2.35058        289.764        5.9618         144.756        0.5007         0.7116         
16       bat        0.0001083333333 0.34           0.577          2.35115        289.764        5.962          144.756        0.5029         0.712          
17       bat        0.0001125      0.34           0.577          2.35171        289.764        5.9622         139.752        0.4862         0.6428         
18       bat        0.0001166666667 0.34           0.577          2.35226        289.764        5.9625         139.752        0.4882         0.7125         
19       bat        0.0001208333333 0.34           0.577          2.35411        289.764        5.9632         139.752        0.4901         0.7106         
20       bat        0.000125       0.34           0.577          2.35474        284.76         5.9635         139.752        0.4921         0.7106         
21       bat        0.0001291666667 0.34           0.577          2.35556        284.76         5.9637         139.752        0.4939         0.7106         
22       bat        0.0001333333333 0.34           0.577          2.35638        284.76         5.964          139.752        0.4958         0.7106         
23       bat        0.0001375      0.34           0.577          2.35717        284.76         5.9642         139.752        0.4976         0.7105         
24       bat        0.0001416666667 0.34           0.577          2.35651        284.76         5.964          139.752        0.4993         0.7123         
25       bat        0.0001458333333 0.34           0.577          2.35731        284.76         5.9643         139.752        0.5011         0.7121         
26       bat        0.00015        0.34           0.577          2.35809        284.76         5.9646         139.752        0.5028         0.7119         
27       bat        0.0001         0.35           0.577          2.34732        289.764        5.9479         144.756        0.4985         0.7009         
28       bat        0.0001041666667 0.35           0.577          2.34796        289.764        5.9481         144.756        0.5007         0.7013         
29       bat        0.0001083333333 0.35           0.577          2.34859        289.764        5.9483         144.756        0.5029         0.7017         
