ibh se mn Qp Tp Bw Bd Tc Bwbc Bwac Bdbc Bdac LnQp LnTp LnBw LnBd LnTc LnBwbc LnBwac LnBdbc LnBdac P1 P2 P3
0.2 0.821 0.016 2.55 5292 9.781 1.3 360 1.786 1.972 0.695 0.786 -0.155494314560811 1.22151042499126 0.414812410513846 0.0392207131532813 -0.847297860387204 0.333118404522781 0.432188178248918 0.130452888397435 -0.423120043346885 1.29935966388809 1.10078003444819 1.70295396895487
0.2166666667 0.821 0.016 2.55 5328 9.781 1.3 252 1.137 1.369 0.664 0.78 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.118466863163127 0.0672204683747861 0.0848231923090769 -0.430782916092454 1.30573520169927 1.28874838403131 1.83461625804961
0.2333333333 0.821 0.016 2.55 5328 9.781 1.3 252 1.122 1.353 0.671 0.786 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.131747270831021 0.0554642712571251 0.0953101798043249 -0.423120043346885 1.30573520169927 1.28767183077451 1.83386018025552
0.25 0.821 0.016 2.55 5328 9.781 1.3 216 0.924 1.137 0.728 0.835 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.325903285271979 -0.118466863163127 0.176842091029329 -0.362645110925236 1.30573520169927 1.45860596079435 1.95767100551176
0.2666666667 0.821 0.016 2.55 5328 9.781 1.3 216 0.905 1.119 0.735 0.841 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.346680413213737 -0.134424648601738 0.18641154204548 -0.355485175803144 1.30573520169927 1.46419796014396 1.96184099341572
0.2833333333 0.821 0.016 2.55 5292 9.781 1.3 252 1.082 1.326 0.655 0.777 -0.155494314560811 1.22151042499126 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.168048897507236 0.0353068138321449 0.071176278467895 -0.434636485408444 1.29935966388809 1.29344982650182 1.83339793547854
0.3 0.821 0.016 2.55 5328 9.781 1.3 252 1.045 1.289 0.671 0.792 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.202843192514752 0.00700664602552436 0.0953101798043249 -0.415515443961666 1.30573520169927 1.29324478809681 1.83777759777841
0.3166666667 0.821 0.016 2.55 5292 9.781 1.3 288 1.216 1.454 0.683 0.802 -0.155494314560811 1.22151042499126 0.414812410513846 0.0392207131532813 -1.07044141170141 -0.0512932943875506 0.127458301179802 0.113035902403433 -0.402968227909577 1.29935966388809 1.15753269690788 1.74017742789355
0.3333333333 0.821 0.016 2.55 5292 9.781 1.3 216 0.881 1.1 0.735 0.844 -0.155494314560811 1.22151042499126 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.373557730977483 -0.151549898127201 0.18641154204548 -0.351924341180135 1.29935966388809 1.4716019003544 1.96314739366815
0.35 0.821 0.016 2.55 5328 9.781 1.3 216 0.814 1.045 0.728 0.844 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.452654990911123 -0.202843192514752 0.176842091029329 -0.351924341180135 1.30573520169927 1.49855435898383 1.98761404296359
0.3666666667 0.821 0.016 2.55 5328 9.781 1.3 216 0.783 1.039 0.68 0.811 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.49148266092286 -0.208601365814436 0.108633841002796 -0.391808781660679 1.30573520169927 1.51488764164651 1.9999572454855
0.3833333333 0.821 0.016 2.58 432 9.781 1.3 324 1.436 1.71 0.607 0.747 -0.143798274797619 -1.28401551199947 0.414812410513846 0.0392207131532813 -0.95265837604503 0.115001392694507 0.289633292583043 -0.00493016610785872 -0.474011650643274 1.35699783154077 1.10877504365238 1.75237701771984
0.4 0.821 0.016 2.57 432 9.781 1.3 252 1.003 1.259 0.695 0.823 -0.147681774824017 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.243864568951727 -0.0165423228693158 0.130452888397435 -0.377120635099022 1.35741485095263 1.29171669475203 1.87379483857968
0.2 0.8361666667 0.016 2.55 5292 9.781 1.3 324 1.558 1.82 0.573 0.701 -0.155494314560811 1.22151042499126 0.414812410513846 0.0392207131532813 -0.95265837604503 0.196542869517031 0.351976423157178 -0.0625732404526174 -0.537568948741502 1.29935966388809 1.16746317652295 1.74679873044276
0.2166666667 0.8361666667 0.016 2.55 5328 9.781 1.3 216 1.009 1.253 0.652 0.771 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.237900336560054 -0.0213194020175947 0.0665856047592961 -0.442388462212762 1.30573520169927 1.4497212420001 1.9510602493165
0.2333333333 0.8361666667 0.016 2.55 5328 9.781 1.3 252 1.149 1.381 0.683 0.799 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.107968079064907 0.0759477964956292 0.113035902403433 -0.406715890009817 1.30573520169927 1.28264204588209 1.83033194662095
0.25 0.8361666667 0.016 2.55 5328 9.781 1.3 216 0.951 1.164 0.741 0.847 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.297101294368273 -0.0949977286222798 0.19454166812873 -0.348376141124037 1.30573520169927 1.44948457808626 1.95088440433218
0.2666666667 0.8361666667 0.016 2.55 5292 9.781 1.3 216 0.93 1.143 0.747 0.853 -0.155494314560811 1.22151042499126 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.319430770766361 -0.113203693118852 0.20260622796546 -0.341317288284413 1.29935966388809 1.45495610468109 1.95070059278408
0.2833333333 0.8361666667 0.016 2.55 5328 9.781 1.3 252 1.07 1.314 0.68 0.802 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.179201429457711 0.026215842130893 0.108633841002796 -0.402968227909577 1.30573520169927 1.28706473822041 1.83343395226744
0.3 0.8361666667 0.016 2.55 5328 9.781 1.3 252 1.091 1.335 0.674 0.796 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.159765371080592 0.0420712139206871 0.0997711537449501 -0.410477649931709 1.30573520169927 1.28658138436975 1.83309467174051
0.3166666667 0.8361666667 0.016 2.56 432 9.781 1.3 288 1.253 1.49 0.692 0.811 -0.151580415239674 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.07044141170141 -0.0213194020175947 0.151916042025842 0.126126998450313 -0.391808781660679 1.3578445394285 1.15706523486665 1.78396797925098
0.3333333333 0.8361666667 0.016 2.57 432 9.781 1.3 288 1.241 1.475 0.701 0.82 -0.147681774824017 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.07044141170141 -0.0309425717090556 0.141797911860257 0.139048929867233 -0.380772495517793 1.35741485095263 1.15378993091346 1.7815179713559
0.35 0.8361666667 0.016 2.6 468 9.781 1.3 324 1.32 1.521 0.579 0.579 -0.136076228703709 -1.20397280432594 0.414812410513846 0.0392207131532813 -0.95265837604503 0.0307716586667537 0.17250793534563 -0.0521564795943617 -0.728774358203096 1.28067817561282 1.21329972707533 1.76415215251182
0.3666666667 0.8361666667 0.016 2.55 432 9.781 1.3 216 0.82 1.076 0.692 0.82 -0.155494314560811 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.445311016655364 -0.173609616191933 0.126126998450313 -0.380772495517793 1.35828702888319 1.49460272704097 2.01959920888047
0.3833333333 0.8361666667 0.016 2.56 432 9.781 1.3 216 0.808 1.064 0.701 0.829 -0.151580415239674 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.460053298392568 -0.184824687012073 0.139048929867233 -0.369856680640797 1.3578445394285 1.49881191935855 2.02241908685294
0.4 0.8361666667 0.016 2.61 432 9.781 1.3 252 1.003 1.314 0.628 0.78 -0.132237452396543 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.243864568951727 0.026215842130893 0.0290812093008418 -0.430782916092454 1.35582149075308 1.30235454061351 1.87999448516333
